I,Drift
-14.8,-2320
-12.1,-1870
-9.08,-1310
-6.63,-870
-5.04,-510
-3.83,-150
-3.03,0
0,0
3.86,0
4.6,0
5.7,510
6.75,820
8.12,1120
10.63,1590
13.94,2180
14.18,2220
