I,Drift
-14.64,-1720
-12.6,-1440
-9.43,-990
-5.68,-320
-4.36,0
6.33,560
7.45,820
5.18,430
4.44,260
9.65,1190
13.64,1720
13.98,1780
10.57,1290
11.3,1410
