I,Drift
-14.74,-1760
-13.94,-1660
-11.43,-1270
-8,-720
-6.75,-480
-5.85,-270
-5,0
5.15,270
6,510
7.6,830
9.4,1120
12.3,1550
13.87,1770
14,1810
4.86,260
4.1,0
