I,Drift
-14.7,-1760
-14.69,-1730
-12.45,-1400
-9.2,-910
-8,-720
-6.87,-480
-5.7,-180
5.07,250
5.6,410
6.4,600
7.5,790
10.15,1200
12.9,1590
13.98,1750
