01.01.2007   N1106
Образец: "La"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   2189    67,1    1097    67,1
   2194    33,6    1099    33,6
   2199     101    1102    67,1
   2204    67,1    1104    33,6
   2209    67,1    1107    67,1
   2214     0,0    1109    33,6
   2219    67,1    1112    33,6
   2224    33,6    1114    33,6
   2229     0,0    1117    67,1
   2234    33,6    1119    33,6
   2239    33,6    1122     0,0
   2244    67,1    1124     0,0
   2249    67,1    1127     0,0
   2250    42,0    1127    30,0
   2251    42,0    1128    15,0
   2252    39,0    1128    17,0
   2253    40,0    1129    23,0
   2254    33,0    1129    20,0
   2255    38,0    1129    34,0
   2256    38,0    1130    25,0
   2257    52,0    1130    29,0
   2258    44,0    1131    24,0
   2259    53,0    1131    32,0
   2260    72,0    1132    20,0
   2261    55,0    1132    26,0
   2262    53,0    1133    29,0
   2263    72,0    1133    29,0
   2264    70,0    1134    21,0
   2265    72,0    1134    20,0
   2266    77,0    1135    24,0
   2267    78,0    1135    19,0
   2268    72,0    1136    19,0
   2269    72,0    1136    19,0
   2270     105    1137    21,0
   2271    84,0    1137    33,0
   2272    90,0    1138    23,0
   2273     111    1138    15,0
   2274    93,0    1139    23,0
   2275     118    1139    21,0
   2276     112    1140    21,0
   2277     117    1140    21,0
   2278     105    1141    22,0
   2279     134    1141    21,0
   2280     126    1142    25,0
   2281     124    1142    23,0
   2282     140    1143    22,0
   2283     148    1143    21,0
   2284     164    1144    21,0
   2285     141    1144    31,0
   2286     156    1145    22,0
   2287     170    1145    21,0
   2288     170    1146    21,0
   2289     202    1146    18,0
   2290     262    1147    22,0
   2291     322    1147    27,0
   2292     455    1148    15,0
   2293     617    1148    24,0
   2294     850    1149    25,0
   2295    1164    1149    16,0
   2296    1472    1150    19,0
   2297    1726    1150    27,0
   2298    1998    1151    22,0
   2299    2125    1151    28,0
   2300    2128    1152    25,0
   2301    2176    1152    23,0
   2302    2173    1153    19,0
   2303    2092    1153    17,0
   2304    1911    1154    22,0
   2305    1678    1154    24,0
   2306    1580    1155    26,0
   2307    1460    1155    14,0
   2308    1300    1156    14,0
   2309    1076    1156    14,0
   2310     892    1157    20,0
   2311     709    1157    23,0
   2312     506    1158    26,0
   2313     409    1158    20,0
   2314     279    1159    23,0
   2315     238    1159    26,0
   2316     152    1160    22,0
   2317     124    1160    21,0
   2318     111    1161    15,0
   2319    78,0    1161    14,0
   2320    85,0    1162    28,0
   2321    65,0    1162    16,0
   2322    78,0    1163    25,0
   2323    66,0    1163    25,0
   2324    56,0    1164    21,0
   2325    68,0    1164    15,0
   2326    45,0    1165    15,0
   2327    58,0    1165    27,0
   2328    55,0    1166    21,0
   2329    54,0    1166    27,0
   2330    43,0    1167    27,0
   2331    56,0    1167    19,0
   2332    50,0    1168    14,0
   2333    56,0    1168    25,0
   2334    41,0    1169    25,0
   2335    48,0    1169    36,0
   2336    65,0    1170    23,0
   2337    47,0    1170    16,0
   2338    50,0    1171    28,0
   2339    39,0    1171    29,0
   2340    53,0    1172    28,0
   2341    49,0    1172    25,0
   2342    35,0    1173    40,0
   2343    51,0    1173    34,0
   2344    44,0    1174    29,0
   2345    49,0    1174    22,0
   2346    57,0    1175    38,0
   2347    39,0    1175    28,0
   2348    54,0    1176    26,0
   2349    52,0    1176    24,0
   2350    61,0    1177    39,0
   2351    49,0    1177    25,0
   2352    52,0    1178    25,0
   2353    67,0    1178    34,0
   2354    53,0    1179    33,0
   2355    41,0    1179    33,0
   2356    55,0    1180    28,0
   2357    43,0    1180    27,0
   2358    39,0    1181    26,0
   2359    49,0    1181    20,0
   2360    59,0    1182    28,0
   2361    42,0    1182    20,0
   2362    50,0    1183    17,0
   2363    52,0    1183    28,0
   2364    46,0    1184    18,0
   2365    43,0    1184    24,0
   2366    51,0    1185    24,0
   2367    69,0    1185    18,0
   2368    65,0    1186    20,0
   2369    65,0    1186    16,0
   2370    99,0    1187    17,0
   2371    99,0    1187    17,0
   2372     106    1188    18,0
   2373     116    1188    15,0
   2374     107    1189    18,0
   2375     129    1189    15,0
   2376     112    1190    17,0
   2377     140    1190    18,0
   2378     118    1191    12,0
   2379     145    1191    19,0
   2380     126    1192    18,0
   2381     113    1192    17,0
   2382     120    1193    14,0
   2383    96,0    1193    17,0
   2384     107    1194    22,0
   2385    99,0    1194    24,0
   2386     100    1195    18,0
   2387    91,0    1195    18,0
   2388     100    1196    15,0
   2389    71,0    1196    21,0
   2390    85,0    1197    16,0
   2391    85,0    1197    13,0
   2392    73,0    1198    18,0
   2393    85,0    1198    19,0
   2394     114    1199    10,0
   2395     101    1199    17,0
   2396    97,0    1200    12,0
   2397     100    1200    18,0
   2398     131    1201    16,0
   2399     167    1201    25,0
   2400     197    1202    12,0
   2401     231    1202    16,0
   2402     327    1203    16,0
   2403     414    1203    12,0
   2404     531    1204    15,0
   2405     645    1204    18,0
   2406     792    1205    23,0
   2407     837    1205    16,0
   2408     885    1206    15,0
   2409     968    1206    17,0
   2410     948    1207    24,0
   2411     907    1207    14,0
   2412     854    1208    18,0
   2413     858    1208    19,0
   2414     786    1209    22,0
   2415     676    1209    20,0
   2416     629    1210    11,0
   2417     569    1210    15,0
   2418     479    1211    20,0
   2419     419    1211    24,0
   2420     332    1212    23,0
   2421     287    1212    20,0
   2422     218    1213    19,0
   2423     165    1213    20,0
   2424     151    1214    14,0
   2425     139    1214    17,0
   2426     142    1214    10,0
   2427     117    1215    20,0
   2428     105    1215    15,0
   2429     113    1216    12,0
   2430    90,0    1216    19,0
   2431     106    1217    24,0
   2432     103    1217    18,0
   2433    84,0    1218    22,0
   2434    96,0    1218    14,0
   2435     110    1219     5,0
   2436     130    1219    16,0
   2437     142    1220    13,0
   2438     141    1220    15,0
   2439     161    1221    12,0
   2440     206    1221    14,0
   2441     247    1222    21,0
   2442     345    1222    12,0
   2443     437    1223    12,0
   2444     475    1223    26,0
   2445     619    1224    12,0
   2446     726    1224    15,0
   2447     706    1225    17,0
   2448     922    1226     9,0
   2449    1027    1226    18,0
   2450    1363    1227    19,0
   2451    1847    1227    26,0
   2452    2346    1228    13,0
   2453    2834    1228    17,0
   2454    3167    1229    17,0
   2455    3591    1229    20,0
   2456    3711    1230    21,0
   2457    3679    1230    15,0
   2458    3788    1231    17,0
   2459    3509    1231    22,0
   2460    3371    1232    14,0
   2461    3211    1232    16,0
   2462    2746    1233     9,0
   2463    2567    1233    24,0
   2464    2159    1234    23,0
   2465    1718    1234    21,0
   2466    1391    1235    13,0
   2467    1083    1235    24,0
   2468     878    1235    16,0
   2469     595    1236    14,0
   2470     446    1236    15,0
   2471     304    1237    11,0
   2472     276    1237    13,0
   2473     191    1238    16,0
   2474     147    1238    12,0
   2475     102    1239    14,0
   2476    93,0    1239     9,0
   2477     105    1240    16,0
   2478    68,0    1240    13,0
   2479    62,0    1241    11,0
   2480    51,0    1241    18,0
   2481    65,0    1242    10,0
   2482    56,0    1242    17,0
   2483    53,0    1243    20,0
   2484    47,0    1243    17,0
   2485    63,0    1244    12,0
   2486    47,0    1244    14,0
   2487    36,0    1245    18,0
   2488    41,0    1245     9,0
   2489    39,0    1246    13,0
   2490    40,0    1246    19,0
   2491    44,0    1247    13,0
   2492    30,0    1247    23,0
   2493    42,0    1248     8,0
   2494    36,0    1248    14,0
   2495    41,0    1249    19,0
   2496    31,0    1249    15,0
   2497    36,0    1250     8,0
   2498    29,0    1250     9,0
   2499    45,0    1251     3,0
   2500    48,0    1251    19,0
   2504     0,0    1253    33,6
   2509     101    1256    33,6
   2514    67,1    1258     0,0
   2519     0,0    1261    33,6
   2524     0,0    1263     0,0
   2529     0,0    1266     0,0
   2534    33,6    1268     0,0
   2539     0,0    1271     0,0
   2544    33,6    1273     0,0
   2549     0,0    1276    33,6
   2554    67,1    1278     0,0
   2559    33,6    1281     0,0
   2564     0,0    1283     0,0
   2569     0,0    1286    33,6
   2574    67,1    1288     0,0
   2579     0,0    1291    33,6
   2584     0,0    1293     0,0
   2589     0,0    1296     0,0
   2594    67,1    1298     0,0
   2599     0,0    1301     0,0
   2604     0,0    1303     0,0
   2609    33,6    1306    33,6
   2614     0,0    1308     0,0
   2619    33,6    1311    33,6
   2624     0,0    1313     0,0
   2629     0,0    1316     0,0
   2634    67,1    1318     0,0
   2639    33,6    1321    33,6
   2644    33,6    1323    33,6
   2649     134    1326     0,0
   2654     201    1328     0,0
   2659    1645    1331     0,0
   2664    1813    1333     0,0
   2669    1511    1336    33,6
   2674     470    1338    33,6
   2679     168    1340    33,6
   2684    33,6    1343     0,0
   2689    67,1    1345     0,0
   2694    33,6    1348     0,0
   2699     0,0    1351     0,0
   2704    33,6    1353    33,6
   2709     0,0    1356     0,0
   2714     0,0    1358     0,0
   2719    33,6    1360     0,0
   2724     0,0    1363    33,6
   2729     0,0    1365     0,0
   2734     0,0    1368    33,6
   2739     0,0    1370    33,6
   2744    33,6    1373     0,0
   2749    33,6    1375    33,6
   2754     0,0    1378     0,0
   2759    33,6    1380     0,0
   2764    33,6    1383     0,0
   2769     0,0    1385     0,0
   2774    33,6    1388     0,0
   2779     0,0    1390    67,1
   2784     0,0    1393     0,0
   2789     0,0    1395     0,0
   2794    33,6    1398     0,0
   2799    33,6    1400    33,6
   2804     0,0    1403     0,0
   2809     0,0    1405     0,0
   2814    33,6    1408    33,6
   2819     0,0    1410     0,0
   2824    33,6    1413     0,0
   2829     0,0    1415     0,0
   2834     0,0    1418     0,0
   2839     0,0    1420     0,0
   2844     0,0    1422    33,6
   2849     0,0    1425     0,0
   2854     0,0    1427     0,0
   2859     0,0    1430     0,0
   2864     0,0    1432     0,0
   2869     0,0    1435     0,0
   2874    33,6    1437    33,6
   2879     0,0    1440     0,0
   2884     0,0    1442     0,0
   2889    33,6    1445     0,0
   2894     0,0    1447     0,0
   2899     0,0    1450     0,0
   2904     0,0    1452     0,0
   2909     0,0    1455     0,0
   2914     0,0    1457     0,0
   2919     0,0    1460     0,0
   2924     0,0    1462     0,0
   2929     0,0    1465     0,0
   2934     0,0    1467     0,0
   2939     0,0    1470    33,6
   2944     0,0    1472     0,0
   2949     0,0    1475     0,0
   2954     0,0    1477     0,0
   2959     0,0    1480     0,0
   2964     0,0    1482    33,6
   2969     0,0    1485     0,0
   2974     0,0    1487     0,0
   2979     0,0    1490     0,0
   2984    33,6    1492     0,0
   2989     0,0    1495    33,6
   2994     0,0    1498     0,0
   2999     0,0    1500     0,0
   3004     0,0    1502     0,0
   3009     0,0    1505     0,0
   3014     0,0    1508     0,0
   3019     0,0    1510     0,0
   3024     0,0    1512     0,0
   3029     0,0    1515     0,0
   3034     0,0    1518     0,0
   3039     0,0    1520     0,0
   3044     0,0    1522     0,0
   3049     0,0    1525     0,0
   3054     0,0    1528     0,0
   3059     0,0    1530     0,0
   3064     0,0    1533     0,0
   3069     0,0    1535     0,0
   3074     0,0    1538     0,0
   3079     0,0    1540     0,0
   3084     0,0    1543    67,1
   3089     0,0    1545    33,6
   3094     0,0    1548     0,0
   3099     0,0    1550     0,0
   3104     0,0    1553     0,0
   3109     0,0    1555     0,0
   3114     0,0    1558     0,0
   3119    33,6    1560     0,0
   3124     0,0    1563     0,0
   3129     0,0    1565     0,0
   3134     0,0    1568     0,0
   3139     0,0    1570     0,0
   3144    67,1    1573    33,6
   3149     336    1575    33,6
