01.01.2007   N1106
Образец: "Se"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1389    1104     700    33,4
   1394    1137     702    33,4
   1399    1171     704    66,9
   1404    1003     707    66,9
   1409     903     709    66,9
   1414    1137     712    66,9
   1419    1572     714    66,9
   1424    2375     717    33,4
   1429    3378     719    33,4
   1434    4080     722    66,9
   1439    3913     724    66,9
   1444    2843     727    66,9
   1449    1672     729    66,9
   1454    1037     732    33,4
   1459     970     734    33,4
   1464     870     737    33,4
   1469     769     739    66,9
   1474     769     742    66,9
   1479     903     744    66,9
   1484     769     747     100
   1489     736     749    66,9
   1494     769     752    66,9
   1499     635     754    33,4
   1504     602     757     0,0
   1509     569     759    33,4
   1514     702     761    66,9
   1519     736     764    66,9
   1524     803     766    66,9
   1529    1104     769    33,4
   1534    1204     771    33,4
   1539    1405     774    33,4
   1544    1304     776    33,4
   1549    1104     779    33,4
   1554    1003     781    33,4
   1559     769     784    33,4
   1564     602     786    33,4
   1569     803     789    33,4
   1574     669     791    33,4
   1579     569     794    66,9
   1584     635     796    66,9
   1589     602     799     100
   1594     535     801     100
   1599     569     804    66,9
   1604     435     806    66,9
   1609     401     809    66,9
   1614     602     811    66,9
   1619     635     813     100
   1624     569     816    66,9
   1629     535     818    66,9
   1634     569     821    66,9
   1639     602     823    66,9
   1644     535     826    66,9
   1649     435     828     100
   1654     535     831     100
   1659     535     833    66,9
   1664     435     836     100
   1669     502     838     100
   1674     435     841     100
   1679     368     843     100
   1684     602     846     100
   1689     569     848     100
   1694     401     851     100
   1699     468     853    66,9
   1704     468     856    66,9
   1709     368     858    66,9
   1714     334     861     100
   1719     468     863     134
   1724     468     866    66,9
   1729     535     868    66,9
   1734     435     870    66,9
   1739     502     873    66,9
   1744     435     875    66,9
   1749     435     878    66,9
   1754     468     880    66,9
   1759     468     883    66,9
   1764     535     885     100
   1769     468     888    66,9
   1774     435     890     100
   1779     468     893     134
   1784     301     895     134
   1789     334     898    66,9
   1794     535     900     100
   1799     435     903     100
   1804     502     905     100
   1809     401     908    66,9
   1814     334     910    66,9
   1819     368     913     100
   1824     268     915     134
   1829     301     918     100
   1834     301     920    66,9
   1839     301     923     100
   1844     334     925     134
   1849     334     928     167
   1854     368     930     134
   1859     301     933     100
   1864     334     935    66,9
   1869     334     937    33,4
   1874     368     940    66,9
   1879     334     942    66,9
   1884     368     945     134
   1889     268     947     134
   1894     134     950     100
   1899     234     952    66,9
   1904     301     955    33,4
   1909     268     957    33,4
   1914     368     960    66,9
   1919     401     962     100
   1924     368     965     100
   1929     301     967    66,9
   1934     334     970     167
   1939     301     972     201
   1944     334     975     234
   1949     368     977     301
   1954     368     980     669
   1959     201     982    1472
   1964     602     985    2408
   1969     803     987    3712
   1974     736     990    5451
   1979     702     992    6388
   1984     468     995    5050
   1989     602     997    2910
   1994     301    1000    1137
   1999     268    1002     468
   2004     268    1005     301
   2009    66,9    1007     134
   2014     234    1010     201
   2019     301    1012     167
   2024     201    1015     134
   2029     167    1017     134
   2034     401    1020    66,9
   2039     201    1022     100
   2044     268    1025     100
   2049     234    1027     100
   2054     301    1030     167
   2059     301    1032     167
   2064     167    1034     167
   2069    66,9    1037     234
   2074     167    1039     234
   2079     334    1042     134
   2084     167    1044     134
   2089     167    1047     201
   2094     368    1049     134
   2099     201    1052    66,9
   2104     234    1054     167
   2109     134    1057     134
   2114     268    1059     134
   2119     167    1062    66,9
   2124     234    1064     100
   2129     268    1067     167
   2134     201    1069     134
   2139     268    1072     167
   2144     201    1074     100
   2149     134    1077     167
   2154     301    1079     167
   2159     100    1082     167
   2164     234    1084     167
   2169     201    1087     201
   2174     268    1089     401
   2179     268    1092     535
   2184     234    1094    1639
   2189     535    1097    4080
   2194    1104    1099   11103
   2199    2007    1102   20535
   2204    2542    1104   27123
   2209    2074    1107   26989
   2214    1973    1109   20334
   2219    1304    1112    9532
   2224     736    1114    3043
   2229     301    1117     669
   2234     134    1119     468
   2239     201    1122     201
   2244     167    1124     201
   2249     167    1127     201
   2254     167    1129     201
   2259     201    1131     100
   2264     167    1134     167
   2269     234    1136     201
   2274     134    1139     167
   2279     134    1141     134
   2284     201    1144     134
   2289    66,9    1146     134
   2294     100    1149     134
   2299     201    1151     167
   2304     100    1154    66,9
   2309     100    1156     134
   2314     201    1159     100
   2319     167    1161    66,9
   2324     134    1164     134
   2329     100    1166     134
   2334     201    1169    33,4
   2339     167    1171    66,9
   2344     134    1174     167
   2349     234    1176     100
   2354     167    1179     100
   2359     100    1181     134
   2364     100    1184     100
   2369     234    1186    66,9
   2374     134    1189    66,9
   2379     134    1191    66,9
   2384     201    1194    66,9
   2389     167    1196    66,9
   2394     100    1199    33,4
   2399     301    1201    66,9
   2404     201    1204    33,4
   2409     201    1206    66,9
   2414     134    1209    66,9
   2419     167    1211     100
   2424     134    1214     167
   2429     234    1216     100
   2434    66,9    1218    66,9
   2439    66,9    1221     100
   2444     100    1223    33,4
   2449     234    1226    66,9
   2454    33,4    1229     0,0
   2459     100    1231     100
   2464     201    1234     0,0
   2469     134    1236     134
   2474     100    1238    66,9
   2479    66,9    1241    66,9
   2484     134    1243    66,9
   2489    66,9    1246    66,9
   2494     301    1248     100
   2499     134    1251    66,9
