01.01.2007   N1106
Образец: "Y"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1731     520     869     410
   1733     576     870     426
   1735     555     871     437
   1737     522     872     452
   1739     437     873     386
   1741     445     874     445
   1743     448     875     490
   1745     402     876     423
   1747     469     877     417
   1749     465     878     352
   1751     460     879     391
   1753     442     880     387
   1754     538     880     336
   1759     437     883     403
   1764     437     885     437
   1769     403     888     370
   1774     471     890     303
   1779     370     893     269
   1784     269     895     202
   1789     370     898     269
   1794     403     900     403
   1799     303     903     437
   1804     269     905     336
   1809     303     908     235
   1814     303     910     168
   1819     269     913     235
   1824     202     915     370
   1829     235     918     336
   1834     336     920     235
   1839     437     923     269
   1844     168     925     202
   1849     235     928     168
   1854     403     930     202
   1859     269     933     235
   1864     269     935     202
   1869     269     937     235
   1874     437     940     202
   1879     538     942     168
   1884     538     945     168
   1889     538     947     269
   1894     370     950     235
   1899     336     952     168
   1904     336     955     168
   1909     269     957     202
   1914     336     960     134
   1919     202     962     168
   1924     370     965     235
   1929     605     967     235
   1934     471     970     269
   1939     403     972     269
   1944     403     975     202
   1949     235     977     202
   1954     370     980     235
   1959     504     982     235
   1964     370     985     235
   1969     269     987     134
   1974     235     990     101
   1979     269     992     101
   1984     336     995     134
   1989     572     997     202
   1994     773    1000     235
   1999     504    1002     168
   2004     370    1005     202
   2009     269    1007     168
   2014     235    1010     101
   2019     269    1012     134
   2024     235    1015     134
   2029     101    1017     202
   2034     202    1020     168
   2039     269    1022     101
   2044     269    1025     168
   2049     336    1027     168
   2054     269    1030     101
   2059     370    1032     134
   2064     303    1034     101
   2069     336    1037    67,2
   2074     235    1039     101
   2079     303    1042     134
   2084     168    1044     168
   2089     202    1047     101
   2094     202    1049     134
   2099     101    1052     168
   2104     202    1054     101
   2109     269    1057     101
   2114     202    1059    67,2
   2119     168    1062     168
   2124     269    1064     134
   2129     202    1067     101
   2134     168    1069     101
   2139     235    1072    67,2
   2144     168    1074     101
   2149     202    1077     101
   2154     134    1079    67,2
   2159     202    1082     101
   2164     168    1084     168
   2169     134    1087     168
