01.01.2007   N1106
Образец: "W"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1764     335     885     0,0
   1769     301     888    33,5
   1774     301     890    33,5
   1779     335     893    33,5
   1784     368     895    33,5
   1789     402     898    33,5
   1794     402     900    67,0
   1799     335     903    33,5
   1804     301     905    33,5
   1809     268     908     0,0
   1814     268     910    33,5
   1819     268     913    33,5
   1824     335     915    33,5
   1829     402     918    33,5
   1834     268     920     100
   1839     402     923    67,0
   1844     335     925    33,5
   1849     268     928    67,0
   1854     268     930    67,0
   1859     268     933    67,0
   1864     268     935    33,5
   1869     201     937    67,0
   1874     368     940    33,5
   1879     469     942    67,0
   1884     368     945    33,5
   1889     301     947    33,5
   1894     335     950    33,5
   1899     301     952    67,0
   1904     234     955    33,5
   1909     234     957     0,0
   1914     301     960    33,5
   1919     234     962    33,5
   1924     335     965    67,0
   1929     435     967    67,0
   1934     368     970    67,0
   1939     368     972    33,5
   1944     268     975    33,5
   1949     301     977     0,0
   1954     335     980    33,5
   1959     134     982    33,5
   1964     201     985    33,5
   1969     201     987    33,5
   1974     167     990    33,5
   1979     201     992     0,0
   1984     268     995    67,0
   1989     301     997    67,0
   1994     268    1000    33,5
   1999     134    1002    33,5
   2004    67,0    1005    33,5
   2009     301    1007    33,5
   2014     301    1010    33,5
   2019     100    1012    33,5
   2024     268    1015    33,5
   2029     268    1017    67,0
   2034     234    1020    67,0
   2039     134    1022     100
   2044     268    1025     134
   2049     201    1027    67,0
   2054     234    1030    33,5
   2059     201    1032    33,5
   2064     234    1034     0,0
   2069     301    1037     0,0
   2074     100    1039    67,0
   2079     167    1042    67,0
   2084     201    1044    67,0
   2089     234    1047    33,5
   2094     201    1049    67,0
   2099     234    1052    67,0
   2104     100    1054     100
   2109     134    1057     134
   2114     100    1059     201
   2119     167    1062     335
   2124     134    1064     234
   2129     268    1067     167
   2134     268    1069     134
   2139     134    1072    67,0
   2144     201    1074     134
   2149     167    1077     134
   2154     167    1079    67,0
   2159     100    1082    33,5
   2164     201    1084    33,5
   2169     167    1087    67,0
   2174     167    1089     234
   2179     167    1092     435
   2184     234    1094     603
   2189     301    1097     904
   2194     301    1099     971
   2199     368    1102     536
   2204     134    1104     134
   2209     234    1107     100
   2214     301    1109    67,0
   2219     134    1112    67,0
   2224     100    1114     0,0
   2229     167    1117    67,0
   2234     167    1119    33,5
   2239    67,0    1122    33,5
   2244     134    1124    67,0
   2249     100    1127    33,5
   2254    67,0    1129    33,5
   2259     167    1131    67,0
   2264     100    1134     100
   2269     201    1136     0,0
   2274     201    1139    67,0
   2279     201    1141    33,5
   2284     201    1144    33,5
   2289     134    1146     0,0
   2294     167    1149    33,5
   2299    67,0    1151    33,5
   2304     134    1154     0,0
   2309     167    1156    33,5
   2314     100    1159    33,5
   2319     100    1161    33,5
   2324     134    1164    33,5
   2329    33,5    1166    33,5
   2334     100    1169    33,5
   2339    67,0    1171     0,0
   2344     100    1174     100
   2349     134    1176     100
   2354    67,0    1179    67,0
   2359    67,0    1181    67,0
   2364     167    1184    33,5
   2369     134    1186    33,5
   2374     134    1189    67,0
   2379    33,5    1191    33,5
   2384     100    1194    33,5
   2389     134    1196    33,5
   2394     100    1199    33,5
   2399     134    1201    67,0
   2404     100    1204    67,0
   2409     201    1206    67,0
   2414     0,0    1209     100
   2419     100    1211     100
   2424     0,0    1214    33,5
   2429     100    1216     134
   2434     100    1218    67,0
   2439    33,5    1221    33,5
   2444    67,0    1223    33,5
   2449     134    1226     100
   2454    67,0    1229     100
   2459     134    1231    33,5
   2464    33,5    1234     0,0
   2469     134    1236     201
   2474     234    1238     569
   2479     201    1241    1239
   2484     234    1243    2244
   2489     268    1246    1641
   2494     201    1248     737
   2499    33,5    1251     268
   2504     100    1253     167
   2509    67,0    1256     234
   2514     134    1258     670
   2519     201    1261     703
   2524     134    1263     703
   2529     0,0    1266     268
   2534    67,0    1268     201
   2539    33,5    1271     167
   2544    67,0    1273     636
   2549    67,0    1276    1407
   2554     268    1278    4119
   2559     435    1281    5157
   2564     301    1283    3014
   2569     301    1286    1440
   2574     100    1288     368
   2579    33,5    1291     201
   2584    67,0    1293     301
   2589     234    1296     402
   2594    67,0    1298     268
   2599     201    1301     569
   2604    33,5    1303     368
   2609    67,0    1306     268
   2614    67,0    1308    67,0
   2619     100    1311     100
   2624     0,0    1313     0,0
   2629    33,5    1316     100
   2634    67,0    1318    33,5
   2639    67,0    1321    33,5
   2644     134    1323     100
   2649     134    1326    33,5
   2654     100    1328    33,5
   2659    33,5    1331    33,5
   2664     100    1333     100
   2669     100    1336    67,0
   2674     100    1338    33,5
   2679     100    1340    33,5
   2684    67,0    1343    33,5
   2689     100    1345     100
   2694     0,0    1348    67,0
   2699    67,0    1351    33,5
   2704    67,0    1353     0,0
   2709     100    1356     0,0
   2714     0,0    1358     0,0
   2719    67,0    1360     0,0
   2724    67,0    1363    33,5
   2729    33,5    1365    33,5
   2734     0,0    1368    33,5
   2739    33,5    1370     134
   2744    67,0    1373    33,5
   2749    67,0    1375     0,0
   2754     100    1378    33,5
   2759    33,5    1380    67,0
   2764    33,5    1383     0,0
   2769    33,5    1385     0,0
   2774     100    1388     100
   2779     100    1390    67,0
   2784    67,0    1393    33,5
   2789     0,0    1395     0,0
   2794    33,5    1398     100
   2799     100    1400     0,0
   2804    33,5    1403    33,5
   2809    33,5    1405    33,5
   2814    67,0    1408     100
   2819    33,5    1410    67,0
   2824     0,0    1413     100
   2829    33,5    1415    33,5
   2834    33,5    1418     100
   2839    67,0    1420     167
   2844    33,5    1422    67,0
   2849    33,5    1425    33,5
   2854     0,0    1427    33,5
   2859     100    1430     0,0
   2864    33,5    1432     167
   2869    33,5    1435     100
   2874    33,5    1437    33,5
   2879    33,5    1440     134
   2884     0,0    1442    33,5
   2889     0,0    1445    67,0
   2894     134    1447     0,0
   2899    33,5    1450    67,0
   2904    67,0    1452    33,5
   2909    67,0    1455    67,0
   2914     0,0    1457    33,5
   2919    33,5    1460    33,5
   2924     100    1462     134
   2929     0,0    1465     167
   2934    67,0    1467     268
   2939     0,0    1470     368
   2944     134    1472    2713
   2949     335    1475    3952
   2954     234    1477    2646
   2959     167    1480     636
   2964     0,0    1482     234
   2969     100    1485     402
   2974    33,5    1487     469
   2979    67,0    1490    67,0
   2984    33,5    1492    33,5
   2989     0,0    1495    67,0
   2994     0,0    1498    67,0
   2999    67,0    1500     0,0
   3004    33,5    1502     201
   3009     0,0    1505    67,0
   3014     0,0    1508     0,0
   3019    33,5    1510    33,5
   3024     0,0    1512    67,0
   3029    67,0    1515    67,0
   3034    33,5    1518    67,0
   3039     0,0    1520    67,0
   3044     0,0    1522     0,0
   3049     0,0    1525    67,0
   3054     0,0    1528    33,5
   3059     0,0    1530    33,5
   3064     0,0    1533    33,5
   3069    33,5    1535     0,0
   3074     0,0    1538     100
   3079     0,0    1540     134
   3084     0,0    1543    67,0
   3089    33,5    1545    33,5
   3094     0,0    1548    33,5
   3099    67,0    1550     0,0
   3104    67,0    1553     100
   3109     0,0    1555    33,5
   3114     0,0    1558    67,0
   3119    33,5    1560    33,5
   3124    67,0    1563    67,0
   3129     0,0    1565    33,5
   3134     0,0    1568    33,5
   3139     0,0    1570    33,5
   3144    67,0    1573    33,5
   3149    33,5    1575    67,0
