01.01.2007   N1106
Образец: "Ag"
LiF200
Трубка: "40,0/0,100"
        Отр1            Отр2
   [мА]  [Имп/с]   [мА]  [Имп/с]
   1849     134     928    33,6
   1854     134     930    33,6
   1859    33,6     933    33,6
   1864    67,2     935    67,2
   1869     101     937    33,6
   1874    67,2     940    33,6
   1879    33,6     942    33,6
   1884    67,2     945    33,6
   1889     101     947     0,0
   1894     101     950    33,6
   1899     101     952    67,2
   1904    67,2     955    67,2
   1909    67,2     957    67,2
   1914     168     960    33,6
   1919     134     962    33,6
   1924     168     965    33,6
   1929     168     967    33,6
   1934     168     970    67,2
   1939     202     972    67,2
   1944     134     975    33,6
   1949    67,2     977    67,2
   1954    67,2     980    67,2
   1959     101     982    33,6
   1964     134     985     0,0
   1969    67,2     987    33,6
   1974    67,2     990    33,6
   1979     101     992    33,6
   1984     101     995    67,2
   1989    67,2     997    67,2
   1994     168    1000    67,2
   1999     235    1002    33,6
   2004    67,2    1005     0,0
   2009    67,2    1007    33,6
   2014    67,2    1010    33,6
   2019    67,2    1012    33,6
   2024    67,2    1015    33,6
   2029     101    1017    33,6
   2034    33,6    1020    33,6
   2039     101    1022    67,2
   2044     101    1025    67,2
   2049    33,6    1027    33,6
   2054     134    1030     0,0
   2059     168    1032     0,0
   2064    67,2    1034     0,0
   2069     101    1037     0,0
   2074    67,2    1039    33,6
   2079     101    1042    67,2
   2084    67,2    1044    33,6
   2089    33,6    1047     0,0
   2094    67,2    1049    33,6
   2099     0,0    1052    33,6
   2104    67,2    1054    33,6
   2109    67,2    1057    33,6
   2114    33,6    1059    67,2
   2119     168    1062    33,6
   2124     101    1064    33,6
   2129    33,6    1067     0,0
   2134    67,2    1069    33,6
   2139    33,6    1072     0,0
   2144    67,2    1074     0,0
   2149    33,6    1077    33,6
   2154    67,2    1079    33,6
   2159    33,6    1082    33,6
   2164    33,6    1084    33,6
   2169    67,2    1087    33,6
   2174     101    1089     0,0
   2179     101    1092    33,6
   2184    33,6    1094    67,2
   2189     0,0    1097     0,0
   2194    33,6    1099    33,6
   2199    67,2    1102    33,6
   2204    33,6    1104    33,6
   2209     101    1107    33,6
   2214     101    1109     0,0
   2219    33,6    1112     0,0
   2224    67,2    1114     0,0
   2229    67,2    1117    33,6
   2234    67,2    1119    33,6
   2239     134    1122    33,6
   2244    67,2    1124     0,0
   2249     101    1127    33,6
   2254     0,0    1129    33,6
   2259    33,6    1131    33,6
   2264     101    1134     0,0
   2269    33,6    1136    33,6
   2274    33,6    1139    33,6
   2279     101    1141     0,0
   2284     101    1144    33,6
   2289    33,6    1146    67,2
   2294     134    1149     0,0
   2299    33,6    1151     0,0
   2304    33,6    1154    33,6
   2309     0,0    1156    33,6
   2314    33,6    1159    33,6
   2319    33,6    1161    33,6
   2324    67,2    1164     0,0
   2329     0,0    1166    33,6
   2334    33,6    1169    33,6
   2339    67,2    1171     0,0
   2344    33,6    1174    67,2
   2349    67,2    1176    67,2
   2354    33,6    1179    33,6
   2359    33,6    1181     0,0
   2364     0,0    1184    33,6
   2369    67,2    1186    33,6
   2374    33,6    1189    33,6
   2379     0,0    1191     0,0
   2384     101    1194     0,0
   2389    67,2    1196    33,6
   2394     101    1199    33,6
   2399     0,0    1201     0,0
   2404     0,0    1204     0,0
   2409    67,2    1206    67,2
   2414     0,0    1209     0,0
   2419    67,2    1211    33,6
   2424    33,6    1214     0,0
   2429    33,6    1216     0,0
   2434    33,6    1218    33,6
   2439    33,6    1221     0,0
   2444    67,2    1223     0,0
   2449     0,0    1226    33,6
   2454    33,6    1229    33,6
   2459     0,0    1231     0,0
   2464     101    1234     0,0
   2469    33,6    1236    33,6
   2474     101    1238     0,0
   2479    33,6    1241    33,6
   2484    67,2    1243     0,0
   2489    67,2    1246     0,0
   2494     0,0    1248     0,0
   2499     0,0    1251    33,6
   2504    33,6    1253    33,6
   2509     0,0    1256     0,0
   2514    33,6    1258    33,6
   2519     0,0    1261    33,6
   2524    33,6    1263     0,0
   2529    67,2    1266     0,0
   2534     0,0    1268     0,0
   2539     101    1271    67,2
   2544    33,6    1273    33,6
   2549     0,0    1276    33,6
   2554     0,0    1278     0,0
   2559     0,0    1281    33,6
   2564    67,2    1283     0,0
   2569    33,6    1286    33,6
   2574    67,2    1288     0,0
   2579    33,6    1291     0,0
   2584     0,0    1293     0,0
   2589     0,0    1296     0,0
   2594    33,6    1298     0,0
   2599    67,2    1301     0,0
   2604    67,2    1303     0,0
   2609    67,2    1306    67,2
